Hash: Average Queue Size Vs Load_x,0.1,0.2,0.30000000000000004,0.4,0.5,0.6,0.7,0.7999999999999999,0.8999999999999999,0.9999999999999999
1 Servers,2753,1779,1900,2424,1695,2521,1214,2704,2824,2146
Hash: Average Queue Size Vs Load_x,0.1,0.2,0.30000000000000004,0.4,0.5,0.6,0.7,0.7999999999999999,0.8999999999999999,0.9999999999999999
,576,939,425,607,467,369,446,488,505,887
Hash: Average Queue Size Vs Load_x,0.1,0.2,0.30000000000000004,0.4,0.5,0.6,0.7,0.7999999999999999,0.8999999999999999,0.9999999999999999
,306,276,277,173,178,167,124,132,197,258
Hash: Average Queue Size Vs Load_x,0.1,0.2,0.30000000000000004,0.4,0.5,0.6,0.7,0.7999999999999999,0.8999999999999999,0.9999999999999999
,125,83,119,99,118,68,85,82,113,121
Hash: Average Queue Size Vs Load_x,0.1,0.2,0.30000000000000004,0.4,0.5,0.6,0.7,0.7999999999999999,0.8999999999999999,0.9999999999999999
,49,67,75,74,115,68,59,56,109,51
Hash: Average Queue Size Vs Load_x,0.1,0.2,0.30000000000000004,0.4,0.5,0.6,0.7,0.7999999999999999,0.8999999999999999,0.9999999999999999
,60,47,51,57,33,41,57,53,43,34
Hash: Average Queue Size Vs Load_x,0.1,0.2,0.30000000000000004,0.4,0.5,0.6,0.7,0.7999999999999999,0.8999999999999999,0.9999999999999999
,43,23,38,32,30,42,32,27,23,32
Hash: Average Queue Size Vs Load_x,0.1,0.2,0.30000000000000004,0.4,0.5,0.6,0.7,0.7999999999999999,0.8999999999999999,0.9999999999999999
,18,29,16,26,16,21,36,27,32,30
Hash: Average Queue Size Vs Load_x,0.1,0.2,0.30000000000000004,0.4,0.5,0.6,0.7,0.7999999999999999,0.8999999999999999,0.9999999999999999
,17,13,17,18,24,17,13,13,18,19
Hash: Average Queue Size Vs Load_x,0.1,0.2,0.30000000000000004,0.4,0.5,0.6,0.7,0.7999999999999999,0.8999999999999999,0.9999999999999999
,13,14,12,12,15,17,14,13,19,15
Hash: Average Queue Size Vs Load_x,0.1,0.2,0.30000000000000004,0.4,0.5,0.6,0.7,0.7999999999999999,0.8999999999999999,0.9999999999999999
,16,14,8,11,11,17,7,15,8,9
Hash: Average Queue Size Vs Load_x,0.1,0.2,0.30000000000000004,0.4,0.5,0.6,0.7,0.7999999999999999,0.8999999999999999,0.9999999999999999
,9,6,14,7,13,9,12,6,9,8
Hash: Average Queue Size Vs Load_x,0.1,0.2,0.30000000000000004,0.4,0.5,0.6,0.7,0.7999999999999999,0.8999999999999999,0.9999999999999999
,10,7,6,7,9,7,8,5,6,7
Hash: Average Queue Size Vs Load_x,0.1,0.2,0.30000000000000004,0.4,0.5,0.6,0.7,0.7999999999999999,0.8999999999999999,0.9999999999999999
,4,6,6,5,5,6,5,7,8,6
