Random: Average Queue Size Vs Load_x,0.1,0.2,0.30000000000000004,0.4,0.5,0.6,0.7,0.7999999999999999,0.8999999999999999,0.9999999999999999
1 Servers,2753,1779,1900,2424,1695,2521,1214,2704,2824,2146
Random: Average Queue Size Vs Load_x,0.1,0.2,0.30000000000000004,0.4,0.5,0.6,0.7,0.7999999999999999,0.8999999999999999,0.9999999999999999
,577,938,426,616,466,368,448,487,505,887
Random: Average Queue Size Vs Load_x,0.1,0.2,0.30000000000000004,0.4,0.5,0.6,0.7,0.7999999999999999,0.8999999999999999,0.9999999999999999
,307,276,276,174,178,167,125,132,197,257
Random: Average Queue Size Vs Load_x,0.1,0.2,0.30000000000000004,0.4,0.5,0.6,0.7,0.7999999999999999,0.8999999999999999,0.9999999999999999
,124,83,118,100,118,69,85,82,114,120
Random: Average Queue Size Vs Load_x,0.1,0.2,0.30000000000000004,0.4,0.5,0.6,0.7,0.7999999999999999,0.8999999999999999,0.9999999999999999
,48,67,75,74,116,68,59,56,109,51
Random: Average Queue Size Vs Load_x,0.1,0.2,0.30000000000000004,0.4,0.5,0.6,0.7,0.7999999999999999,0.8999999999999999,0.9999999999999999
,60,47,52,58,34,42,57,54,43,34
Random: Average Queue Size Vs Load_x,0.1,0.2,0.30000000000000004,0.4,0.5,0.6,0.7,0.7999999999999999,0.8999999999999999,0.9999999999999999
,42,23,38,31,30,42,32,27,24,32
Random: Average Queue Size Vs Load_x,0.1,0.2,0.30000000000000004,0.4,0.5,0.6,0.7,0.7999999999999999,0.8999999999999999,0.9999999999999999
,18,29,16,26,16,20,37,27,33,30
Random: Average Queue Size Vs Load_x,0.1,0.2,0.30000000000000004,0.4,0.5,0.6,0.7,0.7999999999999999,0.8999999999999999,0.9999999999999999
,17,14,18,17,24,17,13,13,18,19
Random: Average Queue Size Vs Load_x,0.1,0.2,0.30000000000000004,0.4,0.5,0.6,0.7,0.7999999999999999,0.8999999999999999,0.9999999999999999
,13,14,12,12,15,18,14,13,19,16
Random: Average Queue Size Vs Load_x,0.1,0.2,0.30000000000000004,0.4,0.5,0.6,0.7,0.7999999999999999,0.8999999999999999,0.9999999999999999
,16,13,8,11,11,17,7,15,8,10
Random: Average Queue Size Vs Load_x,0.1,0.2,0.30000000000000004,0.4,0.5,0.6,0.7,0.7999999999999999,0.8999999999999999,0.9999999999999999
,9,6,15,7,13,8,12,6,9,9
Random: Average Queue Size Vs Load_x,0.1,0.2,0.30000000000000004,0.4,0.5,0.6,0.7,0.7999999999999999,0.8999999999999999,0.9999999999999999
,10,7,6,7,9,7,8,5,6,6
Random: Average Queue Size Vs Load_x,0.1,0.2,0.30000000000000004,0.4,0.5,0.6,0.7,0.7999999999999999,0.8999999999999999,0.9999999999999999
,4,6,6,5,5,6,5,6,7,5
