RoundRobin: Average Queue Size Vs Load_x,0.1,0.2,0.30000000000000004,0.4,0.5,0.6,0.7,0.7999999999999999,0.8999999999999999,0.9999999999999999
1 Servers,2753,1779,1900,2424,1695,2521,1214,2704,2824,2146
RoundRobin: Average Queue Size Vs Load_x,0.1,0.2,0.30000000000000004,0.4,0.5,0.6,0.7,0.7999999999999999,0.8999999999999999,0.9999999999999999
,576,937,425,608,466,368,447,487,504,886
RoundRobin: Average Queue Size Vs Load_x,0.1,0.2,0.30000000000000004,0.4,0.5,0.6,0.7,0.7999999999999999,0.8999999999999999,0.9999999999999999
,306,276,276,173,177,167,124,131,197,256
RoundRobin: Average Queue Size Vs Load_x,0.1,0.2,0.30000000000000004,0.4,0.5,0.6,0.7,0.7999999999999999,0.8999999999999999,0.9999999999999999
,124,83,118,99,117,68,84,82,113,120
RoundRobin: Average Queue Size Vs Load_x,0.1,0.2,0.30000000000000004,0.4,0.5,0.6,0.7,0.7999999999999999,0.8999999999999999,0.9999999999999999
,48,67,75,74,115,67,59,55,108,51
RoundRobin: Average Queue Size Vs Load_x,0.1,0.2,0.30000000000000004,0.4,0.5,0.6,0.7,0.7999999999999999,0.8999999999999999,0.9999999999999999
,59,47,51,57,33,40,57,53,43,34
RoundRobin: Average Queue Size Vs Load_x,0.1,0.2,0.30000000000000004,0.4,0.5,0.6,0.7,0.7999999999999999,0.8999999999999999,0.9999999999999999
,42,22,38,30,29,41,31,26,23,32
RoundRobin: Average Queue Size Vs Load_x,0.1,0.2,0.30000000000000004,0.4,0.5,0.6,0.7,0.7999999999999999,0.8999999999999999,0.9999999999999999
,17,28,16,26,16,20,36,26,32,29
RoundRobin: Average Queue Size Vs Load_x,0.1,0.2,0.30000000000000004,0.4,0.5,0.6,0.7,0.7999999999999999,0.8999999999999999,0.9999999999999999
,16,13,16,17,23,17,13,12,17,18
RoundRobin: Average Queue Size Vs Load_x,0.1,0.2,0.30000000000000004,0.4,0.5,0.6,0.7,0.7999999999999999,0.8999999999999999,0.9999999999999999
,13,14,12,12,14,16,13,12,19,15
RoundRobin: Average Queue Size Vs Load_x,0.1,0.2,0.30000000000000004,0.4,0.5,0.6,0.7,0.7999999999999999,0.8999999999999999,0.9999999999999999
,15,13,7,10,11,16,7,15,8,9
RoundRobin: Average Queue Size Vs Load_x,0.1,0.2,0.30000000000000004,0.4,0.5,0.6,0.7,0.7999999999999999,0.8999999999999999,0.9999999999999999
,9,6,14,7,13,8,12,6,9,8
RoundRobin: Average Queue Size Vs Load_x,0.1,0.2,0.30000000000000004,0.4,0.5,0.6,0.7,0.7999999999999999,0.8999999999999999,0.9999999999999999
,10,6,6,7,9,6,8,5,6,6
RoundRobin: Average Queue Size Vs Load_x,0.1,0.2,0.30000000000000004,0.4,0.5,0.6,0.7,0.7999999999999999,0.8999999999999999,0.9999999999999999
,4,5,6,4,5,6,4,6,7,5
